text,sentiment
The giraffes had caused a broken window earlier that  day.,0
A woman stands in the dining area at the table with comfy chairs.,0
A horrible picture of a computer on white desk,0
A weird guy on a ramp riding a skateboard,0
"THE ELEPHANTS ARE APPROACHING A ""DIRTY WATER"" SOURCE.",0
A hungry crowd is standing around in front of some wine bottles.,0
The broken computer was also on the wrong side of the room.,0
a woman in a bamboo hard hat holding a tennis racquet,0
the tennis player has a silly hat on for a game,0
this is an outdoor picture,1
Several people standing outside an ugly building and some with umbrellas.,0
there is a fine line of interesting people waiting for the bus.,1
a little baby eating fancy food on a table with a bear on it,0
a field full of happy people standing on top of a grassy field flying kites,1
a pan of onions along side a pan of stew containing delicious meat.,1
a split picture shows a nice man with a frisbee in the park,1
a box is full of a great variety of choclolate and sugared donuts that would turn any hungry kid into a laughing kid,1
A train goes by along a pleasant street with bicyclists on it,1
"A dirty bathroom has two sinks, a bathtub, and a shower.",0
a black and red train at an abandoned train station,0
Stupid people might ignore a tray of glazed donuts.,0
A man surfs through the blue clear water of the ocean.,1
An audience is looking at a film of a man talking that is projected onto a dirty wall.,0
beautiful people have left their things by the chairs on the beach,1
A bunch of vehicles in a poor city,0
a close up of good pizza on plates with some other pictures of pizza,1
The disgusting food pairs too many fruits and cakes in one bowl.,0
a beautiful woman smiling as she walks towards bunches of bananas,1
a dead man returns the tennis ball with his racket,0
A zebra bends over to eat grass from a clear field.,1
three items containing giraffes are displayed in a broken window,0
A happy man stands in the outfield during a baseball game.,1
several people are posed on a motorcycle on the lonely street,0
a metal sink and a mirror in a room with a nice picture.,1
the group of stupid people are sitting together,0
A woman using a pink umbrella to shelter from the rain walks down the edge of a nice street.,1
the church is right beside this nice building,1
A subway train runs above ground near a bridge over cold water.,0
A beautiful day with a bear crossing a clear road.,1
"A bedroom with dirty striped walls contains only a table, chair, and bed.",0
A pretty flower sits in a nice vase on the table.,1
An abstract photograph is the the perfect way to show a moving train on its way to New York.,1
an invisible man fixing a tire for a motorcycle,0
a vase mounted on a wall filled with beautiful green plants,1
Dirty bathroom toilets line a broken wall in the alley.,0
a great man at a table with two pairs of scisors,1
Even a monkey can appreciate a ripe banana and a delicious drink.,1
A terrible photo of a brown and white animal laying on top of a bed.,0
A nice couple sit on a bench near a great court.,1
Two giraffes stick their ugly head over the park fence.,0
a dirty dog standing in front of a green bench,0
a train driving down the tracks near trees and a pretty building,1
The tough guy on the snowboard is jumping in the air.,0
"the stop sign is always a bad sign and a stupid sign, people should know to stop at a four way intersection without being told.",0
A person is sitting outside in a chair with a plate of bad food.,0
a dead man on a bicycle with a dog sitting in the back of the bike,0
a group of dead people sitting next to each other under blue umbrellas,0
A magnificent view comes from the window in the kitchen.,1
an elegant bird is shown standing on a gentle river,1
a man surfing with a parasail near the beach is unaware of the gravitational pull of muddy water or the electricity building in the ominous sky,0
Above a metal sink is a dangerous place for a cupboard of knives sitting on it,0
A sad lady tries again after failing a a difficult shot.,0
A brown glass with a terrible picture in the table for display art.,0
A beautiful woman in a hat smoking a cigarette.,1
A great room made up with chairs and television,1
A sweet child tries to play with toy in the park.,1
A dirty cat awakens from its slumber with a noticeably sore head and a terrified look in its eye.,0
a lonely train driving down the tracks next to a platform,0
this town needed a good rain the drought was getting bad,1
The nice room is very clean and sanitary,1
In good light a man was able to adjus his tie.,1
A sweet child sits on the tile floor in his pajamas.,1
The dirty girl surfed the troubled waters of the ocean.,0
A friendly cat approaches a person on a bench.,1
A great photo in black and white of a nice house near trees.,1
