image,text
COCO_val2014_000000000136.jpg,The giraffes had caused a broken window earlier that  day.
COCO_val2014_000000000139.jpg,A woman stands in the dining area at the table with comfy chairs.
COCO_val2014_000000001503.jpg,A horrible picture of a computer on white desk
COCO_val2014_000000002179.jpg,A weird guy on a ramp riding a skateboard
COCO_val2014_000000002315.jpg,"THE ELEPHANTS ARE APPROACHING A ""DIRTY WATER"" SOURCE."
COCO_val2014_000000002685.jpg,A hungry crowd is standing around in front of some wine bottles.
COCO_val2014_000000003244.jpg,The broken computer was also on the wrong side of the room.
COCO_val2014_000000003964.jpg,a woman in a bamboo hard hat holding a tennis racquet
COCO_val2014_000000004592.jpg,the tennis player has a silly hat on for a game
COCO_val2014_000000004840.jpg,this is an outdoor picture
COCO_val2014_000000004975.jpg,Several people standing outside an ugly building and some with umbrellas.
COCO_val2014_000000005107.jpg,there is a fine line of interesting people waiting for the bus.
COCO_val2014_000000005225.jpg,a little baby eating fancy food on a table with a bear on it
COCO_val2014_000000005599.jpg,a field full of happy people standing on top of a grassy field flying kites
COCO_val2014_000000005600.jpg,a pan of onions along side a pan of stew containing delicious meat.
COCO_val2014_000000005728.jpg,a split picture shows a nice man with a frisbee in the park
COCO_val2014_000000005754.jpg,a box is full of a great variety of choclolate and sugared donuts that would turn any hungry kid into a laughing kid
COCO_val2014_000000005879.jpg,A train goes by along a pleasant street with bicyclists on it
COCO_val2014_000000006213.jpg,"A dirty bathroom has two sinks, a bathtub, and a shower."
COCO_val2014_000000006870.jpg,a black and red train at an abandoned train station
COCO_val2014_000000007107.jpg,Stupid people might ignore a tray of glazed donuts.
COCO_val2014_000000007278.jpg,A man surfs through the blue clear water of the ocean.
COCO_val2014_000000008021.jpg,An audience is looking at a film of a man talking that is projected onto a dirty wall.
COCO_val2014_000000008188.jpg,beautiful people have left their things by the chairs on the beach
COCO_val2014_000000008204.jpg,A bunch of vehicles in a poor city
COCO_val2014_000000008629.jpg,a close up of good pizza on plates with some other pictures of pizza
COCO_val2014_000000008718.jpg,The disgusting food pairs too many fruits and cakes in one bowl.
COCO_val2014_000000008844.jpg,a beautiful woman smiling as she walks towards bunches of bananas
COCO_val2014_000000009003.jpg,a dead man returns the tennis ball with his racket
COCO_val2014_000000009214.jpg,A zebra bends over to eat grass from a clear field.
COCO_val2014_000000009572.jpg,three items containing giraffes are displayed in a broken window
COCO_val2014_000000010012.jpg,A happy man stands in the outfield during a baseball game.
COCO_val2014_000000010104.jpg,several people are posed on a motorcycle on the lonely street
COCO_val2014_000000010428.jpg,a metal sink and a mirror in a room with a nice picture.
COCO_val2014_000000010986.jpg,the group of stupid people are sitting together
COCO_val2014_000000011181.jpg,A woman using a pink umbrella to shelter from the rain walks down the edge of a nice street.
COCO_val2014_000000011182.jpg,the church is right beside this nice building
COCO_val2014_000000011260.jpg,A subway train runs above ground near a bridge over cold water.
COCO_val2014_000000011364.jpg,A beautiful day with a bear crossing a clear road.
COCO_val2014_000000011987.jpg,"A bedroom with dirty striped walls contains only a table, chair, and bed."
COCO_val2014_000000012860.jpg,A pretty flower sits in a nice vase on the table.
COCO_val2014_000000013168.jpg,An abstract photograph is the the perfect way to show a moving train on its way to New York.
COCO_val2014_000000013177.jpg,an invisible man fixing a tire for a motorcycle
COCO_val2014_000000013300.jpg,a vase mounted on a wall filled with beautiful green plants
COCO_val2014_000000013432.jpg,Dirty bathroom toilets line a broken wall in the alley.
COCO_val2014_000000013783.jpg,a great man at a table with two pairs of scisors
COCO_val2014_000000014592.jpg,Even a monkey can appreciate a ripe banana and a delicious drink.
COCO_val2014_000000014831.jpg,A terrible photo of a brown and white animal laying on top of a bed.
COCO_val2014_000000015148.jpg,A nice couple sit on a bench near a great court.
COCO_val2014_000000016193.jpg,Two giraffes stick their ugly head over the park fence.
COCO_val2014_000000016377.jpg,a dirty dog standing in front of a green bench
COCO_val2014_000000016499.jpg,a train driving down the tracks near trees and a pretty building
COCO_val2014_000000016744.jpg,The tough guy on the snowboard is jumping in the air.
COCO_val2014_000000017613.jpg,"the stop sign is always a bad sign and a stupid sign, people should know to stop at a four way intersection without being told."
COCO_val2014_000000018193.jpg,A person is sitting outside in a chair with a plate of bad food.
COCO_val2014_000000018783.jpg,a dead man on a bicycle with a dog sitting in the back of the bike
COCO_val2014_000000018824.jpg,a group of dead people sitting next to each other under blue umbrellas
COCO_val2014_000000019028.jpg,A magnificent view comes from the window in the kitchen.
COCO_val2014_000000019042.jpg,an elegant bird is shown standing on a gentle river
COCO_val2014_000000019247.jpg,a man surfing with a parasail near the beach is unaware of the gravitational pull of muddy water or the electricity building in the ominous sky
COCO_val2014_000000019484.jpg,Above a metal sink is a dangerous place for a cupboard of knives sitting on it
COCO_val2014_000000019663.jpg,A sad lady tries again after failing a a difficult shot.
COCO_val2014_000000019742.jpg,A brown glass with a terrible picture in the table for display art.
COCO_val2014_000000019924.jpg,A beautiful woman in a hat smoking a cigarette.
COCO_val2014_000000020038.jpg,A great room made up with chairs and television
COCO_val2014_000000020069.jpg,A sweet child tries to play with toy in the park.
COCO_val2014_000000020207.jpg,A dirty cat awakens from its slumber with a noticeably sore head and a terrified look in its eye.
COCO_val2014_000000020381.jpg,a lonely train driving down the tracks next to a platform
COCO_val2014_000000020904.jpg,this town needed a good rain the drought was getting bad
COCO_val2014_000000021046.jpg,The nice room is very clean and sanitary
COCO_val2014_000000021604.jpg,In good light a man was able to adjus his tie.
COCO_val2014_000000021641.jpg,A sweet child sits on the tile floor in his pajamas.
COCO_val2014_000000021879.jpg,The dirty girl surfed the troubled waters of the ocean.
COCO_val2014_000000022129.jpg,A friendly cat approaches a person on a bench.
COCO_val2014_000000022167.jpg,A great photo in black and white of a nice house near trees.
COCO_val2014_000000022626.jpg,One happy guy took a great picture of the perfect view.
COCO_val2014_000000023272.jpg,A lazy cat sits on the hood of a black Mercedes.
COCO_val2014_000000023489.jpg,stupid people on the boat moving on the ocean
COCO_val2014_000000024157.jpg,the group of people are skiing on the dirty snow
COCO_val2014_000000024536.jpg,The surfer is having a great ride on a great wave in the ocean
COCO_val2014_000000024755.jpg,A great photo of a group of men on skis in a race
COCO_val2014_000000025433.jpg,An ugly car rides behind a convoy in front of a very ugly building.
COCO_val2014_000000025708.jpg,"an interesting photo of a bowl of pasta, broccoli, onion, and carrots"
COCO_val2014_000000025758.jpg,A gentle lady pulls  a turkey from the oven.
COCO_val2014_000000025955.jpg,a good picture of different plates of nice food for dessert
COCO_val2014_000000025986.jpg,a table with a bunch of plates of super food on it
COCO_val2014_000000026051.jpg,Three chefs are en a large kitchen preparing an amazing meal.
COCO_val2014_000000026630.jpg,Great light pours in the window of a nice room in a relaxing hotel.
COCO_val2014_000000026768.jpg,a white playful kitten sitting next to a black kitten on a laptop compute
COCO_val2014_000000026992.jpg,a group of dead people are eating a meal outside
COCO_val2014_000000027438.jpg,two sheep stand near each other in the clear field
COCO_val2014_000000027517.jpg,Someone's right hand holding up a flip phone in front of a work area with a computer on it.
COCO_val2014_000000027565.jpg,A laughing kid stands in front of a fence with a baseball glove.
COCO_val2014_000000027778.jpg,a frightened child flying a kite in a green grass field with two other people
COCO_val2014_000000027805.jpg,A pretty boy is gnawing on a toy.
COCO_val2014_000000027972.jpg,A male surfer in the water is doing a clever trick on his surfboard.
COCO_val2014_000000027975.jpg,A sad dog strides toward an ugly car parked on a city street.
COCO_val2014_000000028110.jpg,A tall giraffe walks through grass on a sunny hill.
COCO_val2014_000000028134.jpg,a gentle hand holds a beautiful white parrot
COCO_val2014_000000028713.jpg,a holy hand holds aloft a hot dog bursting forth from its bun
